facility_id,facility_type,name,address,district,lon,lat,rooms,star_rating,capacity_0.6,capacity_0.7,capacity_0.8
HOTEL_1,酒店,成都香格里拉大酒店(太古里店),滨江东路9号,成都市,104.086071,30.643106,593,5,711.6,830.1999999999999,948.8000000000001
HOTEL_2,酒店,成都太古里希尔顿花园酒店,双林路266号,成都市,104.099416,30.657356,227,4,272.4,317.79999999999995,363.20000000000005
HOTEL_3,酒店,维也纳国际酒店(成都春熙路太古里店),玉沙路92号,成都市,104.082472,30.665567,145,4,174.0,203.0,232.0
HOTEL_4,酒店,成都Pagoda君亭设计酒店(春熙路太古里店),华兴东街16号,成都市,104.081467,30.658736,206,5,247.2,288.4,329.6
HOTEL_5,酒店,成都太古里春熙美居酒店,暑袜北三街20号东楼,成都市,104.075537,30.659057,374,4,448.8,523.6,598.4
HOTEL_6,酒店,成都太古里天府广场地铁站亚朵酒店,人民东路36号,成都市,104.069891,30.658737,106,4,127.19999999999999,148.39999999999998,169.60000000000002
HOTEL_7,酒店,成都春熙路voco酒店,东大街上东大街段9号,成都市,104.071984,30.655672,203,5,243.6,284.2,324.8
HOTEL_8,酒店,成都东大明宇豪雅饭店(春熙路太古里店),东大街紫东楼段39号 (明宇金融广场),成都市,104.091061,30.647184,333,5,399.59999999999997,466.2,532.8000000000001
HOTEL_9,酒店,成都城市名人酒店,人民南路一段122-124号,成都市,104.06535,30.654071,448,5,537.6,627.1999999999999,716.8000000000001
HOTEL_10,酒店,成都万达颐华酒店,橡树林路163号4栋7-13层,成都市,104.093632,30.62147,147,5,176.4,205.79999999999998,235.20000000000002
HOTEL_11,酒店,成都瑞城名人酒店,人民中路二段68号,成都市,104.065893,30.670387,440,4,528.0,616.0,704.0
HOTEL_12,酒店,成都太古里春熙林恩国际酒店,提督街1号,成都市,104.076052,30.659962,218,4,261.59999999999997,305.2,348.8
HOTEL_13,酒店,安逸·新良大酒店(成都春熙路太古里店),东大街上东大街段246号,成都市,104.073752,30.653833,345,4,414.0,482.99999999999994,552.0
HOTEL_14,酒店,成都涧山堂酒店(宽窄巷子店),三洞桥路20号2栋,成都市,104.051064,30.675602,115,4,138.0,161.0,184.0
HOTEL_15,酒店,丽呈東谷酒店(成都春熙路天府广场地铁站店),西御街8号 (地铁1、2号线天府广场站C出口100米),成都市,104.062184,30.65694,158,4,189.6,221.2,252.8
HOTEL_16,酒店,四川锦江宾馆,人民南路二段80号-1,成都市,104.0655,30.648101,478,5,573.6,669.1999999999999,764.8000000000001
HOTEL_17,酒店,雅致酒店(成都文殊院店),荷花池街道人民北路一段4号,成都市,104.071271,30.680003,124,5,148.79999999999998,173.6,198.4
HOTEL_18,酒店,成都金融城豪生Club酒店(环球中心店),锦城大道1000号,成都市,104.054309,30.575774,110,4,132.0,154.0,176.0
HOTEL_19,酒店,成都人民南路戴斯温德姆酒店,人民南路三段24号19栋1号,成都市,104.065535,30.636688,168,4,201.6,235.2,268.8
HOTEL_20,酒店,佰郦希玥酒店(339天府熊猫塔红星桥地铁站店),恒大曹家巷广场东区公寓楼四期2幢1单元1315室 (星辉东路),成都市,104.089829,30.671414,70,3,84.0,98.0,112.0
HOTEL_21,酒店,城上·轻居酒店(成都东站四川师范大学店),静康路156号,成都市,104.114294,30.619515,150,4,180.0,210.0,240.0
HOTEL_22,酒店,四川锦江宾馆贵宾楼,人民南路二段80号-2,成都市,104.064868,30.648221,243,5,291.59999999999997,340.2,388.8
HOTEL_23,酒店,四川岷山饭店,人民南路二段55号,成都市,104.066867,30.648693,305,5,366.0,427.0,488.0
HOTEL_24,酒店,世茂成都茂御酒店(339天府熊猫塔店),建设北路一段58号,成都市,104.094801,30.67073,286,5,343.2,400.4,457.6
HOTEL_25,酒店,成都春熙路IFS亚朵酒店,红星路二段70号主楼四川报业集团大厦旁,成都市,104.082057,30.658761,223,4,267.59999999999997,312.2,356.8
HOTEL_26,酒店,成都宽窄巷子城际酒店,小通巷1号,成都市,104.054349,30.667255,202,5,242.39999999999998,282.79999999999995,323.20000000000005
HOTEL_27,酒店,成都太古里亚朵S酒店,东糠市街1号,成都市,104.083954,30.651379,120,5,144.0,168.0,192.0
HOTEL_28,酒店,成都九眼桥voco酒店,群众路161号,成都市,104.08301,30.638089,190,5,228.0,266.0,304.0
HOTEL_29,酒店,成都院子酒店,五岳宫街28号,成都市,104.074078,30.674016,86,5,103.2,120.39999999999999,137.6
HOTEL_30,酒店,成都宽窄巷子美居酒店(宽窄巷子地铁站店),通惠门路3号,成都市,104.049433,30.662248,199,4,238.79999999999998,278.59999999999997,318.40000000000003
HOTEL_31,酒店,成都云野盛阁酒店(春熙路店),星辉东路恒大曹家巷广场-C区2栋2单元49楼,成都市,104.088915,30.671972,72,4,86.39999999999999,100.8,115.2
HOTEL_32,酒店,朵兰达V酒店(成都火车东站绿地468店),海棠路1948号一层,成都市,104.133949,30.601552,75,4,90.0,105.0,120.0
HOTEL_33,酒店,成都金融城双子塔木莲庄酒店,交子大道500号,成都市,104.052448,30.582862,244,4,292.8,341.59999999999997,390.40000000000003
HOTEL_34,酒店,宽融套房酒店(成都春熙路太古里店),天仙桥北街2号,成都市,104.08564,30.649665,86,4,103.2,120.39999999999999,137.6
HOTEL_35,酒店,朵兰达V酒店(成都太古里国金中心店),总府路7号,成都市,104.080535,30.657387,56,4,67.2,78.39999999999999,89.60000000000001
HOTEL_36,酒店,成都太古里禧玥酒店,下东大街169号晶融汇二期,成都市,104.083483,30.650551,142,5,170.4,198.79999999999998,227.20000000000002
HOTEL_37,酒店,成都雅高瑞享酒店,清江东路63号3栋,成都市,104.024121,30.668696,141,5,169.2,197.39999999999998,225.60000000000002
HOTEL_38,酒店,成都中鸿温德姆至尊酒店,十陵街道蜀王大道北段89号,成都市,104.171521,30.64832,217,5,260.4,303.79999999999995,347.20000000000005
HOTEL_39,酒店,丽呈東谷酒店(成都锦里武侯祠地铁站店),武侯祠横街2号,成都市,104.04829,30.643183,143,4,171.6,200.2,228.8
HOTEL_40,酒店,成都宽窄巷子橙果酒店(通惠门地铁站店),金河路75号,成都市,104.05048,30.661073,111,4,133.2,155.39999999999998,177.60000000000002
HOTEL_41,酒店,凯宾酒店(电子科大建设路店),建设巷2号润新公寓3号楼,成都市,104.103711,30.670402,90,3,108.0,125.99999999999999,144.0
HOTEL_42,酒店,成都太古里春熙路步行街城际酒店,春熙路东段1号,成都市,104.077059,30.654579,210,4,252.0,294.0,336.0
HOTEL_43,酒店,成都太古里河畔亚朵酒店,望平滨河路8号,成都市,104.08983,30.654614,190,4,228.0,266.0,304.0
HOTEL_44,酒店,成都春熙太古里正熙酒店,红星路三段16号,成都市,104.078531,30.653506,145,4,174.0,203.0,232.0
HOTEL_45,酒店,成都蓝海御华饭店(金融城环球中心店),名都路166号,成都市,104.071649,30.577606,473,4,567.6,662.1999999999999,756.8000000000001
HOTEL_46,酒店,隐栖堂精品酒店(成都春熙路新南门地铁站店),南台路8号,成都市,104.074054,30.642922,95,4,114.0,133.0,152.0
