facility_id,facility_type,facility_category,facility_subtype,name,address,district,lon,lat,total_area_m2
PARK_2,公园,公园,公园绿地,南山两河峯景,成都金牛两河西五路南山两河峯景,金牛区,103.980232,30.714555,30743.6723466189
PARK_3,公园,公园,公园绿地,成都市龙爪游园,四川省成都市武侯区二环路西一段与二环高架路交叉口西150米,武侯区,104.018284,30.654741,8669.32836988558
PARK_5,公园,公园,公园绿地,儿童友好广场,四川省成都市武侯区金履四路86号,武侯区,103.983487,30.612172,5494.97860896475
PARK_7,公园,公园,公园绿地,成都国际商贸城音乐喷泉广场,四川省成都市金牛区聚霞路1号,金牛区,104.077517,30.793751,54266.0224035361
PARK_8,公园,公园,公园绿地,恒大曹家巷广场-东区,成都市金牛区马鞍南街与外曹家巷交叉路口往东约130米,金牛区,104.086907,30.67517,70343.2032153423
PARK_10,公园,公园,公园绿地,红杉谷,四川省成都市锦江区杜英路312号,锦江区,104.160466,30.584141,35493.816218259
PARK_11,公园,公园,公园绿地,锦官苑,四川省成都市武侯区武侯大道铁佛段222号,武侯区,103.987199,30.606565,8548.23900285659
PARK_12,公园,公园,公园绿地,银杏园(锦里中路),四川省成都市青羊区武青东四路12号,青羊区,104.053805,30.652036,6076.86756998689
PARK_14,公园,公园,公园绿地,光华村法治文化广场,四川省成都市青羊区光华村街仁和世代春天43附16~17号,青羊区,104.01442,30.664712,2073.34843131616
PARK_15,公园,公园,公园绿地,王泽浚公馆,金河路63号,青羊区,104.049957,30.663755,3070.82920805725
PARK_16,公园,公园,公园绿地,双桂公园(双成二路),四川省成都市成华区双桂路31号,成华区,104.111169,30.644553,4563.41849306723
PARK_18,公园,公园,公园绿地,江安河生态公园,四川省成都市武侯区马家河村簇马路三段,武侯区,103.964621,30.587153,11377.886141098
PARK_20,公园,公园,公园绿地,时空旅,光华大道二段601号附1号国际非物质文化遗产博览园内,青羊区,103.927484,30.670129,13048.8450983709
